# Pixel positions of the trace in the spatial direction, Width of the trace
5.426314405486642727e+02,3.456978168189714928e+00
5.426270108367939429e+02,3.456978168189714928e+00
5.426225815591486707e+02,3.456978168189714928e+00
5.426181527190711904e+02,3.456978168189714928e+00
5.426137243199045770e+02,3.456978168189714928e+00
5.426092963649917920e+02,3.456978168189714928e+00
5.426048688576757968e+02,3.456978168189714928e+00
5.426004418012994392e+02,3.456978168189714928e+00
5.425960151992056808e+02,3.456978168189714928e+00
5.425915890547374829e+02,3.456978168189714928e+00
5.425871633712378070e+02,3.456978168189714928e+00
5.425827381520496147e+02,3.456978168189714928e+00
5.425783134005157535e+02,3.456978168189714928e+00
5.425738891199791851e+02,3.456978168189714928e+00
5.425694653137829846e+02,3.456978168189714928e+00
5.425650419852699997e+02,3.456978168189714928e+00
5.425606191377830783e+02,3.456978168189714928e+00
5.425561967746652954e+02,3.456978168189714928e+00
5.425517748992594989e+02,3.456978168189714928e+00
5.425473535149086501e+02,3.456978168189714928e+00
5.425429326249558244e+02,3.456978168189714928e+00
5.425385122327437557e+02,3.456978168189714928e+00
5.425340923416155192e+02,3.456978168189714928e+00
5.425296729549139627e+02,3.456978168189714928e+00
5.425252540759821613e+02,3.456978168189714928e+00
5.425208357081629629e+02,3.456978168189714928e+00
5.425164178547993288e+02,3.456978168189714928e+00
5.425120005192341068e+02,3.456978168189714928e+00
5.425075837048103722e+02,3.456978168189714928e+00
5.425031674148710863e+02,3.456978168189714928e+00
5.424987516527589833e+02,3.456978168189714928e+00
5.424943364218172519e+02,3.456978168189714928e+00
5.424899217253887400e+02,3.456978168189714928e+00
5.424855075668162954e+02,3.456978168189714928e+00
5.424810939494429931e+02,3.456978168189714928e+00
5.424766808766116810e+02,3.456978168189714928e+00
5.424722683516653206e+02,3.456978168189714928e+00
5.424678563779468732e+02,3.456978168189714928e+00
5.424634449587993004e+02,3.456978168189714928e+00
5.424590340975654499e+02,3.456978168189714928e+00
5.424546237975883969e+02,3.456978168189714928e+00
5.424502140622109891e+02,3.456978168189714928e+00
5.424458048947761881e+02,3.456978168189714928e+00
5.424413962986269553e+02,3.456978168189714928e+00
5.424369882771062521e+02,3.456978168189714928e+00
5.424325808335569263e+02,3.456978168189714928e+00
5.424281739713219395e+02,3.456978168189714928e+00
5.424237676937443666e+02,3.456978168189714928e+00
5.424193620041669419e+02,3.456978168189714928e+00
5.424149569059327405e+02,3.456978168189714928e+00
5.424105524023847238e+02,3.456978168189714928e+00
5.424061484968657396e+02,3.456978168189714928e+00
5.424017451927188631e+02,3.456978168189714928e+00
5.423973424932868284e+02,3.456978168189714928e+00
5.423929404019128242e+02,3.456978168189714928e+00
5.423885389219395847e+02,3.456978168189714928e+00
5.423841380567100714e+02,3.456978168189714928e+00
5.423797378095673594e+02,3.456978168189714928e+00
5.423753381838542964e+02,3.456978168189714928e+00
5.423709391829138440e+02,3.456978168189714928e+00
5.423665408100889636e+02,3.456978168189714928e+00
5.423621430687225029e+02,3.456978168189714928e+00
5.423577459621575372e+02,3.456978168189714928e+00
